0000000000000000,0
0000000000000001,5e-324
0000000000000002,1e-323
0000000000000003,1.5e-323
0000000000000004,2e-323
0000000000000005,2.5e-323
0000000000000006,3e-323
0000000000000007,3.5e-323
0000000000000008,4e-323
0000000000000009,4.4e-323
000000000000000a,5e-323
000000000000000b,5.4e-323
000000000000000c,6e-323
000000000000000d,6.4e-323
000000000000000e,7e-323
000000000000000f,7.4e-323
0000000000000010,8e-323
0000000000000011,8.4e-323
0000000000000012,9e-323
0000000000000013,9.4e-323
0000000000000014,1e-322
0000000000000015,1.04e-322
0000000000000016,1.1e-322
0000000000000017,1.14e-322
0000000000000018,1.2e-322
0000000000000019,1.24e-322
000000000000001a,1.3e-322
000000000000001b,1.33e-322
000000000000001c,1.4e-322
000000000000001d,1.43e-322
000000000000001e,1.5e-322
000000000000001f,1.53e-322
0000000000000020,1.6e-322
0000000000000021,1.63e-322
0000000000000022,1.7e-322
0000000000000023,1.73e-322
0000000000000024,1.8e-322
0000000000000025,1.83e-322
0000000000000026,1.9e-322
0000000000000027,1.93e-322
0000000000000028,2e-322
0000000000000029,2.03e-322
000000000000002a,2.08e-322
000000000000002b,2.1e-322
000000000000002c,2.17e-322
000000000000002d,2.2e-322
000000000000002e,2.27e-322
000000000000002f,2.3e-322
0000000000000030,2.37e-322
0000000000000031,2.4e-322
0000000000000032,2.47e-322
0000000000000033,2.5e-322
0000000000000034,2.57e-322
0000000000000035,2.6e-322
0000000000000036,2.67e-322
0000000000000037,2.7e-322
0000000000000038,2.77e-322
0000000000000039,2.8e-322
000000000000003a,2.87e-322
000000000000003b,2.9e-322
000000000000003c,2.96e-322
000000000000003d,3e-322
000000000000003e,3.06e-322
000000000000003f,3.1e-322
0000000000000040,3.16e-322
0000000000000041,3.2e-322
0000000000000042,3.26e-322
0000000000000043,3.3e-322
0000000000000044,3.36e-322
0000000000000045,3.4e-322
0000000000000046,3.46e-322
0000000000000047,3.5e-322
0000000000000048,3.56e-322
0000000000000049,3.6e-322
000000000000004a,3.66e-322
000000000000004b,3.7e-322
000000000000004c,3.75e-322
000000000000004d,3.8e-322
000000000000004e,3.85e-322
000000000000004f,3.9e-322
0000000000000050,3.95e-322
0000000000000051,4e-322
0000000000000052,4.05e-322
0000000000000053,4.1e-322
0000000000000054,4.15e-322
